Posicion,Competidor,PTOS,Neust.,Glicko-2
Alfil de Oro,Andres (arandres),5 (+8),12 (+30),1931
Alfil de Plata,Camilo (cgallego00),3 (+8),6 (+30.5),1802
Alfil de Bronce,Maria Clara (mc3010),2 (+7),7 (+31),1782
,Jorge (kopalito),2 (+9),5 (+34),1825
,Israel (IAHMCOL),6,20,1619
,Jairo (jajajairoramirez),6,18,1689
,Nicolas (CaballitodeMarr),5.5,14.25,1542
,Harry (marinvahos),4.5,13.75,1360
,Felipe (felipemesamo),3,7,1387
,Alejandro (Alejandro-mesa),3,4.5,1259
,Camila (camihenao16),0,0,1290
,Oscar (GyruTomioka),0,0,1197
